file_name,expected_path,resolved_path,exists,path_corrected_flag,purpose,category
raw_game_logs_S1_to_S4.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\raw_game_logs_S1_to_S4.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\raw_game_logs_S1_to_S4.csv,True,False,Drafted-player raw Seasons 1-4 game logs,raw
career_totals_targets.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\career_totals_targets.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\career_totals_targets.csv,True,False,Drafted-player later-career target totals,raw
cohort_1999_2019.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\cohort_1999_2019.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\cohort_1999_2019.csv,True,False,Drafted-player cohort definition,raw
HOF_raw_s1_s4_game_logs.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\HOF_raw_s1_s4_game_logs.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\HOF_raw_s1_s4_game_logs.csv,True,False,Hall of Fame raw Seasons 1-4 game logs,raw
HOF_career_total_targets.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\HOF_career_total_targets.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\HOF_career_total_targets.csv,True,False,Hall of Fame later-career target totals,raw
player_feature_table_1999_2019.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\player_feature_table_1999_2019.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\player_feature_table_1999_2019.csv,True,False,Player-level boxscore feature table,feature
player_season_feature_table_1999_2019.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\player_season_feature_table_1999_2019.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\player_season_feature_table_1999_2019.csv,True,False,Season-level boxscore feature table,feature
cluster_modeling_predictors_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\cluster_modeling_predictors_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\cluster_modeling_predictors_k5.csv,True,False,Saved cluster modeling predictors,clustering
player_feature_table_1999_2019_clustered_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\player_feature_table_1999_2019_clustered_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\player_feature_table_1999_2019_clustered_k5.csv,True,False,Saved player-level cluster assignments,clustering
cluster_summary_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\cluster_summary_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\cluster_summary_k5.csv,True,False,Cluster summary means,clustering
cluster_summary_zscores_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\cluster_summary_zscores_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\cluster_summary_zscores_k5.csv,True,False,Cluster summary z-scores,clustering
cluster_representative_players_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\cluster_representative_players_k5.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\kmeans_k5_outputs_split\cluster_representative_players_k5.csv,True,False,Representative cluster players,clustering
player_feature_table_pca_scores.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\pca_player_features\player_feature_table_pca_scores.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\pca_player_features\player_feature_table_pca_scores.csv,True,False,Saved PCA scores,clustering
pca_artifacts.joblib,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\pca_player_features\pca_artifacts.joblib,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\pca_player_features\pca_artifacts.joblib,True,False,Saved PCA artifacts,clustering
raw_shotchart_S1_to_S4_main.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\Shot Chart Details Raw\raw_shotchart_S1_to_S4_main.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\Shot Chart Details Raw\raw_shotchart_S1_to_S4_main.csv,True,False,Drafted-player raw shot chart data,shot
raw_shotchart_S1_to_S4_hof_shotstyle.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\Shot Chart Details Raw\raw_shotchart_S1_to_S4_hof_shotstyle.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\Shot Chart Details Raw\raw_shotchart_S1_to_S4_hof_shotstyle.csv,True,False,Hall of Fame raw shot chart data,shot
player_season_shot_tensors.npz,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\Shot Feature\shot_tensors\player_season_shot_tensors.npz,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\Shot Feature\shot_tensors\player_season_shot_tensors.npz,True,False,Existing drafted-player shot tensors,shot
player_shot_tensor_index.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\Shot Feature\shot_tensors\player_shot_tensor_index.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\data\Shot Feature\shot_tensors\player_shot_tensor_index.csv,True,False,Existing drafted-player tensor index,shot
player_season_shot_embedding.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\player_season_shot_embedding.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\player_season_shot_embedding.csv,True,False,Existing drafted-player season embeddings,output
player_shot_embedding.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\player_shot_embedding.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\player_shot_embedding.csv,True,False,Existing drafted-player player embeddings,output
shot_autoencoder_model.pt,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\shot_autoencoder_model.pt,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\shot_autoencoder_model.pt,True,False,Existing shot autoencoder weights,output
shot_autoencoder_metadata.json,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\shot_autoencoder_metadata.json,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\shot_autoencoder_metadata.json,True,False,Existing shot autoencoder metadata,output
training_history.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\training_history.csv,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\Output\ShotChartDetail\training_history.csv,True,False,Existing shot autoencoder training history,output
build_shotchart_tensors.py,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\src\Feature Engineering\build_shotchart_tensors.py,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\src\Feature Engineering\build_shotchart_tensors.py,True,False,Existing drafted tensor builder,code
train_shotchart_autoencoder.py,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\src\Feature Engineering\train_shotchart_autoencoder.py,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\src\Feature Engineering\train_shotchart_autoencoder.py,True,False,Existing shot autoencoder trainer,code
kmeans_from_pca_player_features.py,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\src\Feature Engineering\kmeans_from_pca_player_features.py,C:\Users\Ethan Yao\Downloads\STAT-946-Case-Study-3\src\Feature Engineering\kmeans_from_pca_player_features.py,True,False,Existing macro archetype clustering script,code
