PERSON_ID,PLAYER_NAME,SEASON
101106,Andrew Bogut,2005
101107,Marvin Williams,2005
101114,Deron Williams,2005
101108,Chris Paul,2005
101109,Raymond Felton,2005
101110,Martell Webster,2005
101111,Charlie Villanueva,2005
101112,Channing Frye,2005
101113,Ike Diogu,2005
101115,Andrew Bynum,2005
101116,Fran Vazquez,2005
101117,Yaroslav Korolev,2005
101118,Sean May,2005
101119,Rashad McCants,2005
101120,Antoine Wright,2005
101121,Joey Graham,2005
101122,Danny Granger,2005
101123,Gerald Green,2005
101124,Hakim Warrick,2005
101125,Julius Hodge,2005
101126,Nate Robinson,2005
101127,Jarrett Jack,2005
101128,Francisco Garcia,2005
101129,Luther Head,2005
101130,Johan Petro,2005
101131,Jason Maxiell,2005
101132,Linas Kleiza,2005
101133,Ian Mahinmi,2005
101134,Wayne Simien,2005
101135,David Lee,2005
101136,Salim Stoudamire,2005
101137,Daniel Ewing,2005
101138,Brandon Bass,2005
101139,CJ Miles,2005
101140,Ricky Sanchez,2005
101141,Ersan Ilyasova,2005
101142,Ronny Turiaf,2005
101143,Travis Diener,2005
101144,Von Wafer,2005
101145,Monta Ellis,2005
101146,Roko Ukic,2005
101147,Chris Taft,2005
101148,Mile Ilic,2005
101149,Martynas Andriuskevicius,2005
101150,Lou Williams,2005
101151,Erazem Lorbek,2005
101152,Bracey Wright,2005
101153,Mickael Gelabale,2005
101154,Andray Blatche,2005
101155,Ryan Gomes,2005
101156,Robert Whaley,2005
101157,Axel Hervelle,2005
101158,Orien Greene,2005
101159,Dijon Thompson,2005
101160,Lawrence Roberts,2005
101161,Amir Johnson,2005
101162,Marcin Gortat,2005
101166,Uros Slokar,2005
101164,Cenk Akyol,2005
101165,Alex Acker,2005
2730,Dwight Howard,2004
2731,Emeka Okafor,2004
2732,Ben Gordon,2004
2733,Shaun Livingston,2004
2734,Devin Harris,2004
2735,Josh Childress,2004
2736,Luol Deng,2004
2737,Rafael Araujo,2004
2738,Andre Iguodala,2004
2739,Luke Jackson,2004
2740,Andris Biedrins,2004
2741,Robert Swift,2004
2742,Sebastian Telfair,2004
2743,Kris Humphries,2004
2744,Al Jefferson,2004
2745,Kirk Snyder,2004
2746,Josh Smith,2004
2747,JR Smith,2004
2748,Dorell Wright,2004
2749,Jameer Nelson,2004
2750,Pavel Podkolzin,2004
2751,Viktor Khryapa,2004
2752,Sergei Monia,2004
2753,Delonte West,2004
2754,Tony Allen,2004
2755,Kevin Martin,2004
2756,Sasha Vujacic,2004
2757,Beno Udrih,2004
2758,David Harrison,2004
2760,Anderson Varejao,2004
2761,Jackson Vroman,2004
2762,Peter John Ramos,2004
2763,Lionel Chalmers,2004
2764,Donta Smith,2004
2765,Andre Emmett,2004
2766,Antonio Burks,2004
2767,Royal Ivey,2004
2768,Chris Duhon,2004
2769,Albert Miralles,2004
2770,Justin Reed,2004
2801,David Young,2004
2771,Viktor Sanikidze,2004
2772,Trevor Ariza,2004
2773,Tim Pickett,2004
2774,Bernard Robinson,2004
2775,Ha Ha,2004
2776,Pape Sow,2004
2777,Ricky Minard,2004
2778,Sergei Lishouk,2004
2779,Vassilis Spanoulis,2004
2780,Christian Drejer,2004
2781,Romain Sato,2004
2782,Matt Freije,2004
2783,Rickey Paulding,2004
2784,Luis Flores,2004
2785,Marcus Douthit,2004
2807,Sergei Karaulov,2004
2786,Blake Stepp,2004
2787,Rashad Wright,2004
2544,LeBron James,2003
2545,Darko Milicic,2003
2546,Carmelo Anthony,2003
2547,Chris Bosh,2003
2548,Dwyane Wade,2003
2549,Chris Kaman,2003
2550,Kirk Hinrich,2003
2551,T.J. Ford,2003
2552,Michael Sweetney,2003
2553,Jarvis Hayes,2003
2554,Mickael Pietrus,2003
2555,Nick Collison,2003
2556,Marcus Banks,2003
2557,Luke Ridnour,2003
2558,Reece Gaines,2003
2559,Troy Bell,2003
2560,Zarko Cabarkapa,2003
2561,David West,2003
2562,Sasha Pavlovic,2003
2563,Dahntay Jones,2003
2564,Boris Diaw,2003
2565,Zoran Planinic,2003
2566,Travis Outlaw,2003
2567,Brian Cook,2003
2568,Carlos Delfino,2003
2569,Ndudi Ebi,2003
2570,Kendrick Perkins,2003
2571,Leandro Barbosa,2003
2572,Josh Howard,2003
2573,Maciej Lampe,2003
2574,Jason Kapono,2003
2575,Luke Walton,2003
2602,Jerome Beasley,2003
2577,Sofoklis Schortsanitis,2003
2578,Szymon Szewczyk,2003
2579,Mario Austin,2003
2580,Travis Hansen,2003
2581,Steve Blake,2003
2582,Slavko Vranes,2003
2583,Derrick Zimmerman,2003
2584,Willie Green,2003
2585,Zaza Pachulia,2003
2586,Keith Bogans,2003
2587,Malick Badiane,2003
2588,Matt Bonner,2003
2589,Sani Becirovic,2003
2590,Mo Williams,2003
2591,James Lang,2003
2592,James Jones,2003
2593,Paccelis Morlende,2003
2594,Kyle Korver,2003
2595,Remon Van de Hare,2003
2596,Tommy Smith,2003
2597,Nedzad Sinanovic,2003
2598,Rick Rickert,2003
2599,Brandon Hunter,2003
2600,Xue Yuyang,2003
2601,Andreas Glyniadakis,2003
2397,Yao Ming,2002
2398,Jay Williams,2002
2399,Mike Dunleavy,2002
2400,Drew Gooden,2002
2401,Nikoloz Tskitishvili,2002
2402,Dajuan Wagner,2002
2403,Nene,2002
2404,Chris Wilcox,2002
2405,Amar'e Stoudemire,2002
2406,Caron Butler,2002
2407,Jared Jeffries,2002
2408,Melvin Ely,2002
2409,Marcus Haislip,2002
2410,Fred Jones,2002
2411,Bostjan Nachbar,2002
2412,Jiri Welsch,2002
2413,Juan Dixon,2002
2414,Curtis Borchardt,2002
2415,Ryan Humphrey,2002
2416,Kareem Rush,2002
2417,Qyntel Woods,2002
2418,Casey Jacobsen,2002
2419,Tayshaun Prince,2002
2420,Nenad Krstic,2002
2421,Frank Williams,2002
2422,John Salmons,2002
2423,Chris Jefferies,2002
2424,Dan Dickau,2002
2426,Steve Logan,2002
2427,Roger Mason Jr.,2002
2425,Robert Archibald,2002
2428,Vincent Yarbrough,2002
2429,Dan Gadzuric,2002
2430,Carlos Boozer,2002
2525,Milos Vujanic,2002
2431,David Andersen,2002
2432,Tito Maddox,2002
2433,Rod Grizzard,2002
2434,Juan Carlos Navarro,2002
2435,Mario Kasun,2002
2436,Flip Murray,2002
2438,Jason Jennings,2002
2437,Lonny Baxter,2002
2439,Sam Clancy,2002
2440,Matt Barnes,2002
2441,Jamal Sampson,2002
2442,Chris Owens,2002
2526,Peter Fehse,2002
2443,Darius Songaila,2002
2444,Federico Kammerichs,2002
2445,Marcus Taylor,2002
2446,Rasual Butler,2002
2447,Tamar Slay,2002
2448,Mladen Sekularac,2002
2449,Luis Scola,2002
2450,Randy Holcomb,2002
2451,Corsley Edwards,2002
2198,Kwame Brown,2001
2199,Tyson Chandler,2001
2200,Pau Gasol,2001
2201,Eddy Curry,2001
2202,Jason Richardson,2001
2203,Shane Battier,2001
2204,Eddie Griffin,2001
2205,DeSagana Diop,2001
2206,Rodney White,2001
2207,Joe Johnson,2001
2208,Kedrick Brown,2001
2209,Vladimir Radmanovic,2001
2210,Richard Jefferson,2001
2211,Troy Murphy,2001
2212,Steven Hunter,2001
2213,Kirk Haston,2001
2214,Michael Bradley,2001
2215,Jason Collins,2001
2216,Zach Randolph,2001
2217,Brendan Haywood,2001
2218,Joseph Forte,2001
2219,Jeryl Sasser,2001
2220,Brandon Armstrong,2001
2221,Raul Lopez,2001
2222,Gerald Wallace,2001
2223,Samuel Dalembert,2001
2224,Jamaal Tinsley,2001
2225,Tony Parker,2001
2239,Trenton Hassell,2001
2240,Gilbert Arenas,2001
2241,Omar Cook,2001
2226,Will Solomon,2001
2242,Terence Morris,2001
2243,Brian Scalabrine,2001
2244,Jeff Trepagnier,2001
2245,Damone Brown,2001
2246,Mehmet Okur,2001
2247,Michael Wright,2001
2248,Earl Watson,2001
2249,Jamison Brewer,2001
2250,Bobby Simmons,2001
2251,Eric Chenowith,2001
2252,Kyle Hill,2001
2253,Sean Lampley,2001
2254,Loren Woods,2001
2255,Ousmane Cisse,2001
2238,Antonis Fotsis,2001
2256,Ken Johnson,2001
2257,Ruben Boumtje-Boumtje,2001
2228,Alton Ford,2001
2259,Andre Hutson,2001
2260,Jarron Collins,2001
2261,Kenny Satterfield,2001
2262,Maurice Jeffers,2001
2263,Robertas Javtokas,2001
2264,Alvin Jones,2001
2265,Bryan Bracey,2001
2030,Kenyon Martin,2000
2031,Stromile Swift,2000
2032,Darius Miles,2000
2033,Marcus Fizer,2000
2034,Mike Miller,2000
2035,DerMarr Johnson,2000
2036,Chris Mihm,2000
2037,Jamal Crawford,2000
2038,Joel Przybilla,2000
2039,Keyon Dooling,2000
2040,Jerome Moiso,2000
2041,Etan Thomas,2000
2042,Courtney Alexander,2000
2043,Mateen Cleaves,2000
2044,Jason Collier,2000
2045,Hedo Turkoglu,2000
2046,Desmond Mason,2000
2047,Quentin Richardson,2000
2048,Jamaal Magloire,2000
2049,Speedy Claxton,2000
2050,Morris Peterson,2000
2051,Donnell Harvey,2000
2052,DeShawn Stevenson,2000
2053,Dalibor Bagaric,2000
2054,Jake Tsakalidis,2000
2055,Mamadou N'diaye,2000
2056,Primoz Brezec,2000
2057,Erick Barkley,2000
2058,Mark Madsen,2000
2060,Marko Jaric,2000
2061,Dan Langhi,2000
2062,A.J. Guyton,2000
2063,Jake Voskuhl,2000
2064,Khalid El-Amin,2000
2065,Mike Smith,2000
2066,Soumaila Samake,2000
2067,Eddie House,2000
2059,Eduardo Najera,2000
2068,Lavor Postell,2000
2069,Hanno Mottola,2000
2070,Chris Carrawell,2000
2071,Olumide Oyedeji,2000
2072,Michael Redd,2000
2073,Brian Cardinal,2000
2074,Jabari Smith,2000
2075,DeeAndre Hulett,2000
2076,Josip Sesar,2000
2077,Mark Karcher,2000
2078,Jason Hart,2000
2079,Kaniel Dickens,2000
2080,Igor Rakocevic,2000
2081,Ernest Brown,2000
2082,Dan McClintock,2000
2083,Cory Hightower,2000
2084,Chris Porter,2000
2085,Jaquay Walls,2000
2086,Scoonie Penn,2000
2087,Pete Mickeal,2000
1882,Elton Brand,1999
1883,Steve Francis,1999
1884,Baron Davis,1999
1885,Lamar Odom,1999
1886,Jonathan Bender,1999
1887,Wally Szczerbiak,1999
1888,Richard Hamilton,1999
1889,Andre Miller,1999
1890,Shawn Marion,1999
1891,Jason Terry,1999
1892,Trajan Langdon,1999
1893,Aleksandar Radojevic,1999
1894,Corey Maggette,1999
1895,William Avery,1999
1896,Frederic Weis,1999
1897,Metta World Peace,1999
1898,Cal Bowdler,1999
1899,James Posey,1999
1900,Quincy Lewis,1999
1901,Dion Glover,1999
1902,Jeff Foster,1999
1903,Kenny Thomas,1999
1904,Devean George,1999
1905,Andrei Kirilenko,1999
1906,Tim James,1999
1907,Vonteego Cummings,1999
1908,Jumaine Jones,1999
1909,Scott Padgett,1999
1910,Leon Smith,1999
1911,John Celestand,1999
1912,Rico Hill,1999
1913,Michael Ruffin,1999
1914,Chris Herren,1999
1915,Evan Eschmeyer,1999
1916,Calvin Booth,1999
1917,Wang Zhi-zhi,1999
1918,Obinna Ekezie,1999
1919,Laron Profit,1999
1920,A.J. Bramlett,1999
1921,Gordan Giricek,1999
1922,Francisco Elson,1999
1923,Louis Bullock,1999
1924,Lee Nailon,1999
1925,Tyrone Washington,1999
1926,Ryan Robertson,1999
1927,J.R. Koch,1999
1928,Todd MacCulloch,1999
1929,Galen Young,1999
1930,Lari Ketner,1999
1931,Venson Hamilton,1999
1932,Antwain Smith,1999
1933,Roberto Bergersen,1999
1934,Rodney Buford,1999
1935,Melvin Levett,1999
1936,Kris Clack,1999
1937,Tim Young,1999
1938,Manu Ginobili,1999
1939,Eddie Lucas,1999
