PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
2547,2003-04,00,1610612761,TOR,20.0,75,63,2512,327,712,0.459,5,14,0.357,202,288,0.701,191,366,557,78,59,106,107,215,861,Chris Bosh
2547,2004-05,00,1610612761,TOR,21.0,81,81,3015,473,1005,0.471,3,10,0.3,412,542,0.76,194,524,718,153,76,113,187,226,1361,Chris Bosh
2547,2005-06,00,1610612761,TOR,22.0,70,70,2751,549,1087,0.505,0,13,0.0,474,581,0.816,204,443,647,181,50,79,157,209,1572,Chris Bosh
2547,2006-07,00,1610612761,TOR,23.0,69,69,2658,543,1094,0.496,12,35,0.343,463,590,0.785,186,555,741,175,39,90,179,163,1561,Chris Bosh
2547,2007-08,00,1610612761,TOR,24.0,67,67,2425,507,1027,0.494,10,25,0.4,472,559,0.844,174,409,583,171,63,67,153,157,1496,Chris Bosh
2547,2008-09,00,1610612761,TOR,25.0,77,77,2928,615,1263,0.487,12,49,0.245,504,617,0.817,215,556,771,191,67,77,174,189,1746,Chris Bosh
2547,2009-10,00,1610612761,TOR,26.0,70,70,2526,600,1158,0.518,8,22,0.364,470,590,0.797,205,554,759,166,43,68,169,170,1678,Chris Bosh
2547,2010-11,00,1610612748,MIA,27.0,77,77,2795,524,1056,0.496,6,25,0.24,384,471,0.815,141,500,641,144,59,49,138,172,1438,Chris Bosh
2547,2011-12,00,1610612748,MIA,28.0,57,57,2007,393,807,0.487,10,35,0.286,229,279,0.821,94,358,452,103,51,45,117,128,1025,Chris Bosh
2547,2012-13,00,1610612748,MIA,29.0,74,74,2454,485,907,0.535,21,74,0.284,241,302,0.798,131,370,501,123,66,101,128,168,1232,Chris Bosh
2547,2013-14,00,1610612748,MIA,30.0,79,79,2531,492,953,0.516,74,218,0.339,223,272,0.82,98,424,522,87,80,78,125,192,1281,Chris Bosh
2547,2014-15,00,1610612748,MIA,31.0,44,44,1556,343,745,0.46,63,168,0.375,179,232,0.772,46,264,310,95,41,25,95,69,928,Chris Bosh
2547,2015-16,00,1610612748,MIA,32.0,53,53,1778,358,767,0.467,81,222,0.365,213,268,0.795,48,342,390,128,36,34,78,101,1010,Chris Bosh
2548,2003-04,00,1610612748,MIA,22.0,61,56,2130,371,798,0.465,16,53,0.302,233,312,0.747,85,162,247,275,86,34,196,140,991,Dwyane Wade
2548,2004-05,00,1610612748,MIA,23.0,77,77,2974,630,1318,0.478,13,45,0.289,581,762,0.762,110,287,397,520,121,82,321,230,1854,Dwyane Wade
2548,2005-06,00,1610612748,MIA,24.0,75,75,2892,699,1413,0.495,13,76,0.171,629,803,0.783,107,323,430,503,146,58,268,217,2040,Dwyane Wade
2548,2006-07,00,1610612748,MIA,25.0,51,50,1931,472,962,0.491,21,79,0.266,432,535,0.807,51,188,239,384,107,62,216,117,1397,Dwyane Wade
2548,2007-08,00,1610612748,MIA,26.0,51,49,1954,439,937,0.469,22,77,0.286,354,467,0.758,45,169,214,354,87,37,224,137,1254,Dwyane Wade
2548,2008-09,00,1610612748,MIA,27.0,79,79,3048,854,1739,0.491,88,278,0.317,590,771,0.765,89,309,398,589,173,106,272,178,2386,Dwyane Wade
2548,2009-10,00,1610612748,MIA,28.0,77,77,2792,719,1511,0.476,73,243,0.3,534,702,0.761,107,266,373,501,142,82,252,181,2045,Dwyane Wade
2548,2010-11,00,1610612748,MIA,29.0,76,76,2823,692,1384,0.5,63,206,0.306,494,652,0.758,123,362,485,346,111,87,237,197,1941,Dwyane Wade
2548,2011-12,00,1610612748,MIA,30.0,49,49,1625,416,837,0.497,15,56,0.268,235,297,0.791,73,164,237,225,82,63,129,110,1082,Dwyane Wade
2548,2012-13,00,1610612748,MIA,31.0,69,69,2391,569,1093,0.521,17,66,0.258,308,425,0.725,86,258,344,352,128,56,194,140,1463,Dwyane Wade
2548,2013-14,00,1610612748,MIA,32.0,54,53,1775,415,761,0.545,9,32,0.281,189,258,0.733,60,181,241,252,79,29,161,106,1028,Dwyane Wade
2548,2014-15,00,1610612748,MIA,33.0,62,62,1971,509,1084,0.47,29,102,0.284,284,370,0.768,58,161,219,299,73,21,209,105,1331,Dwyane Wade
2548,2015-16,00,1610612748,MIA,34.0,74,73,2258,540,1183,0.456,7,44,0.159,322,406,0.793,82,220,302,344,79,42,203,116,1409,Dwyane Wade
2548,2016-17,00,1610612741,CHI,35.0,60,59,1792,414,955,0.434,45,145,0.31,223,281,0.794,63,207,270,228,86,41,138,112,1096,Dwyane Wade
2548,2017-18,00,1610612739,CLE,36.0,46,3,1069,198,435,0.455,23,70,0.329,94,134,0.701,39,142,181,163,42,32,92,84,513,Dwyane Wade
2548,2017-18,00,1610612748,MIA,36.0,21,0,467,101,247,0.409,9,41,0.22,41,55,0.745,11,60,71,65,19,15,48,40,252,Dwyane Wade
2548,2017-18,00,0,TOT,36.0,67,3,1536,299,682,0.438,32,111,0.288,135,189,0.714,50,202,252,228,61,47,140,124,765,Dwyane Wade
2548,2018-19,00,1610612748,MIA,37.0,72,2,1885,416,960,0.433,86,261,0.33,165,233,0.708,69,216,285,301,59,38,166,118,1083,Dwyane Wade
2397,2002-03,00,1610612745,HOU,22.0,82,72,2382,401,805,0.498,1,2,0.5,301,371,0.811,196,479,675,137,31,147,173,230,1104,Yao Ming
2397,2003-04,00,1610612745,HOU,23.0,82,82,2693,535,1025,0.522,0,2,0.0,361,446,0.809,197,538,735,122,22,156,204,273,1431,Yao Ming
2397,2004-05,00,1610612745,HOU,24.0,80,80,2447,538,975,0.552,0,0,0.0,389,497,0.783,208,461,669,61,34,160,196,298,1465,Yao Ming
2397,2005-06,00,1610612745,HOU,25.0,57,57,1949,467,900,0.519,0,1,0.0,337,395,0.853,148,433,581,85,30,94,147,195,1271,Yao Ming
2397,2006-07,00,1610612745,HOU,26.0,48,48,1624,423,819,0.516,0,2,0.0,356,413,0.862,101,351,452,94,17,94,167,159,1202,Yao Ming
2397,2007-08,00,1610612745,HOU,27.0,55,55,2044,432,852,0.507,0,2,0.0,345,406,0.85,172,422,594,129,25,111,183,171,1209,Yao Ming
2397,2008-09,00,1610612745,HOU,28.0,77,77,2589,566,1032,0.548,1,1,1.0,381,440,0.866,204,557,761,137,30,150,234,257,1514,Yao Ming
2397,2010-11,00,1610612745,HOU,30.0,5,5,91,18,37,0.486,0,0,0.0,15,16,0.938,7,20,27,4,0,8,7,13,51,Yao Ming
2200,2001-02,00,1610612763,MEM,21.0,82,79,3007,551,1064,0.518,1,5,0.2,338,477,0.709,238,492,730,223,41,169,224,195,1441,Pau Gasol
2200,2002-03,00,1610612763,MEM,22.0,82,82,2948,569,1116,0.51,1,10,0.1,416,565,0.736,192,528,720,229,34,148,213,220,1555,Pau Gasol
2200,2003-04,00,1610612763,MEM,23.0,78,78,2458,506,1049,0.482,4,15,0.267,365,511,0.714,206,394,600,198,44,132,187,185,1381,Pau Gasol
2200,2004-05,00,1610612763,MEM,24.0,56,53,1790,357,695,0.514,1,6,0.167,282,367,0.768,130,280,410,135,37,93,137,146,997,Pau Gasol
2200,2005-06,00,1610612763,MEM,25.0,80,80,3135,600,1194,0.503,3,12,0.25,425,617,0.689,191,522,713,371,46,153,235,184,1628,Pau Gasol
2200,2006-07,00,1610612763,MEM,26.0,59,59,2133,462,858,0.538,3,11,0.273,299,400,0.748,149,432,581,201,29,126,162,137,1226,Pau Gasol
2200,2007-08,00,1610612763,MEM,27.0,39,39,1433,279,557,0.501,4,15,0.267,176,215,0.819,94,248,342,116,16,56,80,85,738,Pau Gasol
2200,2007-08,00,1610612747,LAL,27.0,27,27,918,196,333,0.589,0,1,0.0,116,147,0.789,61,150,211,95,14,42,44,54,508,Pau Gasol
2200,2007-08,00,0,TOT,27.0,66,66,2351,475,890,0.534,4,16,0.25,292,362,0.807,155,398,553,211,30,98,124,139,1246,Pau Gasol
2200,2008-09,00,1610612747,LAL,28.0,81,81,2999,592,1045,0.567,1,2,0.5,343,439,0.781,262,518,780,284,52,81,157,172,1528,Pau Gasol
2200,2009-10,00,1610612747,LAL,29.0,65,65,2403,452,844,0.536,0,5,0.0,286,362,0.79,243,491,734,218,37,113,143,152,1190,Pau Gasol
2200,2010-11,00,1610612747,LAL,30.0,82,82,3037,593,1120,0.529,1,3,0.333,354,430,0.823,268,568,836,273,48,130,142,203,1541,Pau Gasol
2200,2011-12,00,1610612747,LAL,31.0,65,65,2430,459,917,0.501,7,27,0.259,204,261,0.782,183,495,678,237,37,88,142,127,1129,Pau Gasol
2200,2012-13,00,1610612747,LAL,32.0,49,42,1655,270,579,0.466,8,28,0.286,125,178,0.702,111,310,421,200,24,61,104,93,673,Pau Gasol
2200,2013-14,00,1610612747,LAL,33.0,60,60,1884,425,885,0.48,4,14,0.286,187,254,0.736,124,456,580,201,27,92,141,124,1041,Pau Gasol
2200,2014-15,00,1610612741,CHI,34.0,78,78,2681,570,1153,0.494,12,26,0.462,294,366,0.803,220,699,919,210,25,147,158,147,1446,Pau Gasol
